Year,Month,Day,Hour,Minute,Second,VBus,I1,I2,I3,I4,CH1,CH2,CH3,CH4
2024,10,3,15,1,35,57603,-8,1873,-44,20,0,1,1,1
2024,10,3,15,2,30,57628,-14,1887,-50,24,0,1,1,1
2024,10,3,15,3,27,57123,-11,1894,-49,21,0,1,1,1
2024,10,3,15,4,33,55750,-14,1748,-50,19,0,1,1,1
2024,10,3,15,5,31,54004,-10,1849,-43,370,0,1,1,1
2024,10,3,15,6,32,53150,-10,2045,-42,833,0,1,1,1
2024,10,3,15,7,32,53862,-13,2011,-43,746,0,1,1,1
2024,10,3,15,8,32,54365,-9,2003,-43,726,0,1,1,1
2024,10,3,15,9,30,54449,-10,1990,-44,730,0,1,1,1
2024,10,3,15,10,27,54058,-9,2003,-43,706,0,1,1,1
2024,10,3,15,11,27,53121,-10,2048,-41,956,0,1,1,1
2024,10,3,15,12,27,52814,-11,2050,-44,1022,0,1,1,1
2024,10,3,15,13,27,52887,-11,2037,-42,398,0,1,1,1
2024,10,3,15,14,27,52949,-10,2054,-45,25,0,1,1,1
2024,10,3,15,15,27,52915,-11,2051,-44,18,0,1,1,1
2024,10,3,15,16,28,52887,-14,2046,-41,18,0,1,1,1
2024,10,3,15,17,28,52865,-14,2047,-44,21,0,1,1,1
2024,10,3,15,18,28,52849,-14,2045,-41,23,0,1,1,1
2024,10,3,15,19,28,52859,-11,2049,-44,18,0,1,1,1
2024,10,3,15,20,28,52831,-13,2045,-43,21,0,1,1,1
2024,10,3,15,21,28,52849,-14,1880,-40,22,0,1,1,1
2024,10,3,15,22,29,52785,-14,2061,-43,19,0,1,1,1
2024,10,3,15,23,29,52738,-14,2053,-43,21,0,1,1,1
2024,10,3,15,24,29,52761,-15,2052,-43,21,0,1,1,1
2024,10,3,15,25,29,52656,-15,2057,-44,19,0,1,1,1
2024,10,3,15,26,30,52658,-14,2055,-43,17,0,1,1,1
2024,10,3,15,27,30,52647,-14,2049,-44,171,0,1,1,1
2024,10,3,15,28,30,52352,-14,2067,-44,879,0,1,1,1
2024,10,3,15,29,30,52338,-14,2058,-43,1000,0,1,1,1
2024,10,3,15,30,30,52281,-14,2060,-43,1040,0,1,1,1
2024,10,3,15,31,31,52270,-13,2062,-44,1026,0,1,1,1
2024,10,3,15,32,31,52260,-14,2068,-41,1009,0,1,1,1
2024,10,3,15,33,31,52228,-14,2072,-43,1022,0,1,1,1
2024,10,3,15,34,31,52321,-14,2061,-41,571,0,1,1,1
2024,10,3,15,35,32,52443,-14,2058,-44,19,0,1,1,1
2024,10,3,15,36,32,52443,-14,2062,-44,21,0,1,1,1
2024,10,3,15,37,32,52418,-14,2065,-44,24,0,1,1,1
2024,10,3,15,38,30,52377,-14,2065,-44,17,0,1,1,1
2024,10,3,15,39,27,52391,-15,2067,-44,17,0,1,1,1
2024,10,3,15,40,27,52341,-13,2064,-44,21,0,1,1,1
2024,10,3,15,41,27,52341,-14,2068,-41,19,0,1,1,1
2024,10,3,15,42,28,52343,-15,2060,-44,17,0,1,1,1
2024,10,3,15,43,28,52330,-14,2058,-43,19,0,1,1,1
