Year,Month,Day,Hour,Minute,Second,SolarV1,SolarI1,SolarV2,SolarI2,BatteryV1,BatteryI1,BatteryV2,BatteryI2,SupplyV1,SupplyI1,SupplyV2,SupplyI2
2024,01,29,10,34,44,18290,59,19712,-44,20198,15,12002,-15,19448,14,0,-14
2024,01,29,10,34,47,18441,44,20229,-59,20220,15,11936,-30,19427,0,0,0
2024,01,29,10,34,49,18395,45,20085,-59,20614,0,11962,0,19597,14,0,0
2024,01,29,10,34,54,18140,44,19689,-59,20309,15,12083,0,19701,0,0,0
2024,01,29,10,34,59,18229,74,19711,-74,20442,30,12027,-30,19531,0,0,0
2024,01,29,10,35,04,18096,59,19971,-44,20264,15,11948,0,19618,14,0,0
2024,01,29,10,35,09,18373,74,19996,-44,20400,45,12027,-15,19384,0,0,0
2024,01,29,10,35,14,18355,89,19717,-59,20264,15,11922,0,19661,0,0,0
2024,01,29,10,35,19,18485,74,19782,-59,20400,0,11922,0,19534,0,0,0
2024,01,29,10,35,25,18269,59,20083,-59,20416,15,11990,0,19724,14,0,0
2024,01,29,10,35,30,18377,44,19930,-59,20109,15,12013,-15,19744,0,0,0
2024,01,29,10,35,35,18290,59,19712,-59,20091,15,12107,-15,19744,0,0,0
2024,01,29,10,35,40,18118,59,19734,-59,20044,15,12041,-15,19554,0,0,0
2024,01,29,10,35,45,18096,74,19782,-74,20305,15,12055,-30,19594,14,0,-14
2024,01,29,10,35,50,18269,59,19823,-74,20353,0,12002,-15,19637,14,0,0
2024,01,29,10,35,55,18182,59,19840,-59,20376,30,12027,0,19637,0,0,0
2024,01,29,10,36,00,18182,59,19712,-29,20371,0,12027,-15,19597,14,0,0
2024,01,29,10,36,05,18139,59,19908,-74,20686,30,12018,-15,19661,0,0,-14
2024,01,29,10,36,10,18036,74,20018,-74,20392,15,11988,-15,19491,14,0,0
2024,01,29,10,36,15,18165,89,20018,-89,20245,30,12013,0,19618,0,0,0
2024,01,29,10,36,20,18398,74,19712,-59,20353,15,12013,0,19764,0,0,0
2024,01,29,10,36,25,18139,29,20277,-74,20109,15,12055,0,19594,0,0,0
2024,01,29,10,36,30,18333,44,19841,-44,20197,30,11990,-15,19551,0,0,0
2024,01,29,10,36,35,18269,74,20102,-44,20175,15,11936,-15,19448,14,0,0
2024,01,29,10,36,40,18122,59,19694,-59,20311,15,12013,-15,19594,0,0,0
2024,01,29,10,36,45,18333,74,19994,-59,20156,30,11922,-15,19510,0,0,0
2024,01,29,10,36,50,18183,119,19800,-59,20156,30,11962,0,19491,14,0,0
2024,01,29,10,36,55,18226,74,19971,-59,20156,15,11922,0,19574,0,0,0
2024,01,29,10,37,00,18139,74,20188,-44,20329,0,11922,-15,19597,14,0,0
2024,01,29,10,37,05,18118,74,19671,-74,20501,-15,12027,-15,19935,0,0,0
2024,01,29,10,37,10,18011,29,19624,-29,20418,-90,12069,0,19618,0,0,0
2024,01,29,10,37,15,18096,59,20083,-74,20156,-105,12027,0,19618,0,0,0
2024,01,29,10,37,21,18079,44,20059,-59,20632,15,12041,-15,19828,14,0,-14
2024,01,29,10,37,26,18351,44,19518,-59,20222,15,11950,0,19467,0,0,-14
2024,01,29,10,37,31,18354,74,20059,-74,20264,15,12027,-15,19911,0,0,0
2024,01,29,10,37,36,18096,59,19694,-74,20358,15,12083,0,19741,0,0,0
2024,01,29,10,37,41,18118,59,19671,-44,20460,15,11962,-15,19764,14,0,0
2024,01,29,10,37,46,18140,89,20076,-44,20269,15,11990,-15,19721,0,0,0
2024,01,29,10,37,51,18183,60,20150,-75,20329,15,12083,-15,19618,0,0,-14
2024,01,29,10,37,56,18226,44,19800,-59,20048,15,12016,-30,19721,0,0,0
2024,01,29,10,38,01,18312,89,19689,-59,20227,15,11988,-30,19510,0,0,-14
2024,01,29,10,38,06,18096,59,19866,-74,20305,15,11962,-15,19618,0,0,0
2024,01,29,10,38,11,18079,74,19606,-59,20621,15,11990,-15,19915,14,0,-14
2024,01,29,10,38,16,18161,74,19735,-74,20621,30,11936,0,19574,0,0,0
2024,01,29,10,38,21,18057,104,20212,-74,20198,30,11988,0,19618,14,0,0
2024,01,29,10,38,26,18355,44,20012,-74,20457,15,11922,-15,19554,0,0,-14
2024,01,29,10,38,32,18226,74,20102,-44,20240,15,11948,-15,19721,0,0,-14
2024,01,29,10,38,36,18312,59,19825,-15,20371,30,12055,-30,19637,0,0,0
2024,01,29,10,38,42,18122,59,19912,-74,20309,15,12018,-15,19867,0,0,0
2024,01,29,10,38,47,18294,44,20147,-59,20245,30,12027,-30,19701,14,0,0
2024,01,29,10,38,52,18463,44,19495,-59,20175,15,11990,-30,19788,0,0,-14
2024,01,29,10,38,57,18226,89,19560,-44,20358,30,12135,-30,19575,0,0,0
2024,01,29,10,39,02,18186,74,19689,-59,20376,30,11936,-30,19661,0,0,0
2024,01,29,10,39,07,18226,59,19865,-74,20132,30,12013,-15,19701,14,0,0
2024,01,29,10,39,12,18204,104,19648,-89,20109,30,11948,-15,19681,0,0,-14
2024,01,29,10,39,17,18075,89,20124,-44,20245,30,11990,-30,19638,0,0,0
2024,01,29,10,39,22,18312,74,19841,-29,20132,15,12041,0,19724,0,0,-14
2024,01,29,10,39,27,18462,74,19992,-44,20376,30,11948,-30,19661,14,0,-14
2024,01,29,10,39,32,18420,89,19823,-59,20109,30,12055,-15,19617,14,0,0
2024,01,29,10,39,37,18226,59,19712,-44,20175,15,11948,0,19764,14,0,0
2024,01,29,10,39,42,18441,29,19606,-59,20132,30,12013,-45,19554,0,0,-14
2024,01,29,10,39,47,18484,29,19777,-59,20245,30,12041,-30,19701,0,0,0
2024,01,29,10,39,53,18401,44,19757,-59,20311,45,11976,0,19554,14,0,0
2024,01,29,10,39,58,18438,29,19866,-59,20198,15,12055,-30,19511,0,0,0
2024,01,29,10,40,03,18312,29,19541,-59,20179,30,12016,-30,19764,0,0,-14
2024,01,29,10,40,08,18336,29,19494,-29,20311,30,12055,0,19745,14,0,0
